time_literal,groundtruth_value,val_econ
1/31/21,11209,-5.80E-01
1/24/21,12383,-4.81E-01
1/23/21,13909,-5.31E-01
1/22/21,15684,-5.75E-01
1/21/21,13908,-4.99E-01
1/20/21,11119,-4.83E-01
1/19/21,12721,-4.51E-01
1/18/21,13410,-4.32E-01
1/17/21,13694,-4.35E-01
1/16/21,15945,-4.21E-01
1/15/21,19469,-3.73E-01
1/14/21,14187,-4.64E-01
1/13/21,14704,-5.28E-01
1/12/21,14791,-5.62E-01
1/11/21,14179,-5.15E-01
1/10/21,16308,-4.43E-01
1/9/21,17839,-4.31E-01
1/8/21,19560,-5.63E-01
1/7/21,17588,-5.02E-01
1/6/21,16016,-4.87E-01
1/5/21,13142,-4.91E-01
1/4/21,11242,-4.80E-01
1/3/21,12232,-5.21E-01
1/2/21,15849,-4.42E-01
1/1/21,17033,-4.57E-01
12/31/20,15393,-3.81E-01
12/30/20,12917,-5.19E-01
12/29/20,10183,-5.86E-01
12/28/20,8268,-5.95E-01
12/27/20,8008,-6.81E-01
12/27/20,8008,-6.64E-01
12/26/20,11129,-7.88E-01
12/26/20,11129,-6.86E-01
12/25/20,13048,-7.91E-01
12/25/20,13048,-6.94E-01
12/24/20,13024,-7.17E-01
12/24/20,13024,-6.51E-01
12/23/20,10532,-7.22E-01
12/23/20,10532,-6.46E-01
12/22/20,9393,-6.32E-01
12/22/20,9393,-6.17E-01
12/21/20,9805,-6.20E-01
12/21/20,9805,-6.07E-01
12/20/20,9305,-6.37E-01
12/20/20,9305,-6.14E-01
12/19/20,10067,-6.28E-01
12/19/20,10067,-6.07E-01
12/18/20,12652,-6.40E-01
12/18/20,12652,-6.13E-01
12/17/20,11723,-6.72E-01
12/17/20,11723,-6.22E-01
12/16/20,9419,-6.39E-01
12/16/20,9419,-6.09E-01
12/15/20,8964,-6.33E-01
12/15/20,8964,-5.85E-01
12/14/20,10138,-6.30E-01
12/14/20,10138,-6.07E-01
12/13/20,10587,-5.91E-01
12/13/20,10587,-5.82E-01
12/12/20,11000,-6.01E-01
12/12/20,11000,-5.84E-01
12/11/20,11124,-5.66E-01
12/11/20,11124,-5.29E-01
12/10/20,11124,-5.72E-01
12/10/20,11124,-4.95E-01
12/9/20,9258,-6.05E-01
12/9/20,9258,-5.72E-01
12/8/20,8435,-6.03E-01
12/8/20,8435,-5.98E-01
12/7/20,8453,-5.48E-01
12/7/20,8453,-4.65E-01
12/6/20,10151,-5.31E-01
12/5/20,11054,-6.10E-01
12/5/20,11054,-5.57E-01
12/4/20,11846,-5.58E-01
12/4/20,11846,-5.43E-01
12/3/20,10148,-5.77E-01
12/3/20,10148,-5.63E-01
12/2/20,8135,-5.61E-01
12/2/20,8135,-5.43E-01
12/1/20,7087,-5.70E-01
12/1/20,7087,-5.60E-01
11/30/20,7772,-8.52E-01
11/30/20,7772,-7.23E-01
11/29/20,5478,-6.49E-01
11/29/20,5478,-6.46E-01
11/28/20,6861,-6.52E-01
11/28/20,6861,-6.15E-01
11/27/20,8278,-6.97E-01
11/27/20,8278,-6.74E-01
11/26/20,7312,-6.79E-01
11/26/20,7312,-6.59E-01
11/25/20,6033,-6.59E-01
11/25/20,6033,-5.99E-01
11/24/20,4882,-6.80E-01
11/24/20,4882,-6.56E-01
11/23/20,6437,-6.73E-01
11/23/20,6437,-6.32E-01
11/22/20,5680,-6.54E-01
11/22/20,5680,-6.44E-01
11/21/20,6312,-6.50E-01
11/21/20,6312,-6.46E-01
11/20/20,5733,-6.62E-01
11/20/20,5733,-6.25E-01
11/19/20,5824,-6.67E-01
11/19/20,5824,-6.17E-01
11/18/20,4876,-6.27E-01
11/18/20,4876,-5.96E-01
11/17/20,4612,-6.24E-01
11/17/20,4612,-5.79E-01
11/16/20,4210,-5.99E-01
11/16/20,4210,-5.70E-01
11/15/20,4192,-5.69E-01
11/15/20,4192,-5.67E-01
11/14/20,5577,-5.60E-01
11/14/20,5577,-5.54E-01
11/13/20,5666,-5.51E-01
11/13/20,5666,-5.49E-01
11/12/20,5225,-5.50E-01
11/12/20,5225,-5.27E-01
11/11/20,4253,-5.41E-01
11/11/20,4253,-5.20E-01
11/10/20,3957,-5.34E-01
11/10/20,3957,-5.26E-01
11/9/20,3446,-5.55E-01
11/9/20,3446,-5.18E-01
11/8/20,3579,-5.06E-01
11/8/20,3579,-4.99E-01
11/7/20,3900,-5.25E-01
11/7/20,3900,-4.60E-01
11/6/20,3211,-5.46E-01
11/6/20,3211,-4.79E-01
11/5/20,3217,-5.54E-01
11/5/20,3217,-5.23E-01
11/4/20,2068,-5.79E-01
11/4/20,2068,-5.69E-01
11/3/20,2069,-5.76E-01
11/3/20,2069,-5.49E-01
11/2/20,1870,-5.80E-01
11/2/20,1870,-5.51E-01
11/1/20,2122,-6.00E-01
11/1/20,2122,-5.97E-01
