time_literal,groundtruth_value,val_econ
2022-02-13,4355,-2.14E-1
2022-02-12,3521,-2.04E-1
2022-02-11,4756,-2.16E-1
2022-02-10,7354,-2.43E-1
2022-02-09,5752,-2.57E-1
2022-02-08,4243,-2.57E-1
2022-02-07,3830,-2.57E-1
2022-02-06,7089,-2.59E-1
2022-02-05,5764,-2.77E-1
2022-02-04,8112,-3.29E-1
2022-02-03,9776,-3.1E-1
2022-02-02,9691,-3.01E-1
2022-02-01,6521,-3.1E-1
2022-01-31,7513,-3.16E-1
2022-01-30,7002,-3.17E-1
2022-01-29,12164,-3.07E-1
2022-01-28,14315,-2.61E-1
2022-01-27,16887,-2.66E-1
2022-01-26,19113,-2.74E-1
2022-01-25,14412,-2.7E-1
2022-01-24,12378,-2.74E-1
2022-01-23,26286,-2.93E-1
2022-01-22,22321,-2.94E-1
2022-01-21,28768,-3.03E-1
2022-01-20,30075,-3.0E-1
2022-01-19,22826,-2.94E-1
2022-01-18,23884,-2.99E-1
2022-01-17,39758,-3.06E-1
2022-01-16,46858,-2.87E-1
2022-01-15,40611,-2.97E-1
2022-01-14,46203,-2.93E-1
2022-01-13,61176,-3.13E-1
2022-01-12,55458,-3.16E-1
2022-01-11,52389,-3.19E-1
2022-01-10,57865,-3.09E-1
2022-01-09,90021,-3.07E-1
2022-01-08,81388,-2.97E-1
2022-01-07,85079,-3.3E-1
2022-01-06,78267,-3.06E-1
2022-01-05,76000,-2.83E-1
2022-01-04,52247,-2.66E-1
2022-01-03,132093,-2.5E-1
2022-01-02,34363,-2.36E-1
2022-01-01,37416,-2.27E-1
2021-12-31,78090,-2.61E-1
2021-12-30,71787,-2.63E-1
2021-12-29,62201,-2.44E-1
2021-12-28,47102,-2.27E-1
2021-12-27,36728,-2.13E-1
2021-12-26,82350,-2.0E-1
2021-12-25,0,-1.8E-1
2021-12-24,31138,-9.14E-2
2021-12-23,35410,-7.14E-2
2021-12-22,28243,-8.43E-2
2021-12-21,24237,-9.29E-2
2021-12-20,22578,-1.01E-1
2021-12-19,25963,-1.09E-1
2021-12-18,14087,-1.1E-1
2021-12-17,20897,-1.1E-1
2021-12-16,17904,-1.14E-1
2021-12-15,12680,-1.24E-1
2021-12-14,8849,-1.33E-1
2021-12-13,13503,-1.37E-1
2021-12-12,8207,-1.4E-1
2021-12-11,8824,-1.41E-1
2021-12-10,11327,-1.36E-1
2021-12-09,11719,-1.37E-1
2021-12-08,9466,-1.37E-1
2021-12-07,8514,-1.31E-1
2021-12-06,10534,-1.33E-1
2021-12-05,8318,-1.33E-1
2021-12-04,8079,-1.44E-1
2021-12-03,11218,-1.56E-1
2021-12-02,11359,-1.64E-1
2021-12-01,9373,-2.3E-1
2021-11-30,6659,-2.1E-1
2021-11-29,7601,-1.99E-1
2021-11-28,4828,-1.93E-1
2021-11-27,3458,-1.8E-1
2021-11-26,7816,-1.69E-1
2021-11-25,7091,-1.6E-1
2021-11-24,7075,-8.86E-2
2021-11-23,5564,-1.09E-1
2021-11-22,5303,-1.17E-1
2021-11-21,8441,-1.23E-1
2021-11-20,5889,-1.26E-1
2021-11-19,7590,-1.3E-1
2021-11-18,8103,-1.34E-1
2021-11-17,6071,-1.31E-1
2021-11-16,5024,-1.3E-1
2021-11-15,6560,-1.29E-1
2021-11-14,4391,-1.27E-1
2021-11-13,5406,-1.24E-1
2021-11-12,6244,-1.19E-1
2021-11-11,6648,-1.11E-1
2021-11-10,5103,-1.17E-1
2021-11-09,4215,-1.2E-1
2021-11-08,5218,-1.19E-1
2021-11-07,3932,-1.16E-1
2021-11-06,4109,-1.14E-1
