team,model,intervention assumptions,hospitalization assumptions,methods,methods_filtered,intervention assumptions_filtered,hospitalization assumptions_filtered,forecasts submitted
Auquan,Auquan-SEIR,These projections do not make specific assumptions about which interventions have been implemented or will remain in place.  ,,Fitted SEIR model,SEIR,,,Deaths
BPagano,BPagano-RtDriven,These projections assume that the effects of interventions are reflected in the observed data and will continue going forward.,,SIR model,SIR,sd_continue,,Deaths
CAN,CovidActNow-SEIR_CAN,These projections do not make any specific assumptions about which interventions have been implemented or will remain in place.,,Fitted SEIR model,SEIR,,,"Hospitalizations, deaths"
CDDEP,CDDEP-SEIR_MCMC, This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,, Bayesian SEIR model,SEIR,sd_continue,,Cases
CMU,CMU-TimeSeries, These projections do not make specific assumptions about which interventions have been implemented or will remain in place.,, Autoregressive time-series model,Regression,,,"Cases, deaths"
Columbia,CU-nochange,"This model assumes that contact rates will increase 5% during the first week of the forecast period. Following week 1, the reproductive number is then set to 1.0.","The model uses state-specific hospitalization data, when available. In states without hospitalization data, the model uses the national average value for hospitalization data.",Metapopulation SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
Columbia,CU-scenario_high,"This model assumes that contact rates will increase 5% during the first week of the forecast period. Following week 1, the reproductive number is then set to 1.0.","The model uses state-specific hospitalization data, when available. In states without hospitalization data, the model uses the national average value for hospitalization data.",Metapopulation SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
Columbia,CU-scenario_low,"This model assumes that contact rates will increase 5% during the first week of the forecast period. Following week 1, the reproductive number is then set to 1.0.","The model uses state-specific hospitalization data, when available. In states without hospitalization data, the model uses the national average value for hospitalization data.",Metapopulation SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
Columbia,CU-scenario_mid,"This model assumes that contact rates will increase 5% during the first week of the forecast period. Following week 1, the reproductive number is then set to 1.0.","The model uses state-specific hospitalization data, when available. In states without hospitalization data, the model uses the national average value for hospitalization data.",Metapopulation SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
Columbia,CU-select,"This model assumes that contact rates will increase 5% during the first week of the forecast period. Following week 1, the reproductive number is then set to 1.0.","The model uses state-specific hospitalization data, when available. In states without hospitalization data, the model uses the national average value for hospitalization data.",Metapopulation SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
Columbia-UNC,Columbia_UNC-SurvCon,This model assumes that transmission intensity will peak in early July and then gradually decline.,,Statistical survival-convolutional model,Survival,,,"Cases, deaths"
Covid19Sim,Covid19Sim-Simulator,This model is based on assumptions about how levels of social distancing will change in the future.,"The number of new hospitalizations per day are estimated from the number of infections, using state-specific hospitalization rates.",SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
CovidComplete,SteveMcConnell-CovidComplete,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,,Statistical prediction model,Regression,sd_continue,,Deaths
DDS,DDS-NBDS,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,,Bayesian hierarchical model,Bayesian,sd_continue,,"Cases, deaths"
ESG,RobertWalraven-ESG,These projections assume that current interventions will not change during the forecasted period.,,Fitting reported data to multiple skewed gaussian distributions,Regression,sd_continue,,"Cases, deaths"
Facebook,FAIR-NRAR,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,,"A machine learning model, combined with an auto-regressive model",Machine Learning,sd_continue,,Cases
Geneva,Geneva-DetGrowth,The projections assume that social distancing policies in place at the date of calibration are extended for the future weeks.,,Exponential and linear statistical models fit to the recent growth rate of cumulative deaths,Regression,sd_continue,,"Cases, deaths"
Google-HSPH,Google_Harvard-CPF,These forecasts implement changes to future population mobility in order to predict COVID-19 transmission intensity.,, SEIR model fit with machine learning,SEIR,sd_change,,"Cases, hospitalizations, deaths"
GT-CHHS,GT_CHHS-COVID19,"This model assumes that that once stay-at-home orders are lifted, contact rates will gradually increase. It also assumes that some households containing symptomatic cases will self-quarantine.",,Agent-based model,Agent-based Modeling,,,Deaths
